Employee ID,Position ID,Effective Date,Effective Sequence,Compensation Change On Next Pay Period,Employee Visibility Date,Event Subcategory Reason,Override Compensation Basis Calculation,Primary Compensation Basis,Primary Compensation Basis Amount Change,Primary Compensation Basis Percent Change,Compensation Package Name,Compensation Grade Name,Compensation Grade Profile Name,Compensation Step Name,Progression Start Date,Pay Plan Replace,Compensation Plan,Pay Plan Amount,Percent Change,Amount Change,Pay Plan Currency,Pay Plan Frequency,Pay Plan Expected End Date,Pay Plan Actual End Date,Unit Salary Plan Replace,Unit Salary Plan,Unit Salary Plan Per Unit Amount,Unit Salary Plan Currency,Default Units,Unit Salary Plan Frequency,Unit Salary Plan Actual End Date,Allowance Plan Replace,Allowance Plan,Allowance Plan Percent,Allowance Plan Amount,Allowance Plan Manage by Compensation Basis Override Amount,Allowance Plan Currency,Allowance Plan Frequency,Allowance Plan Expected End Date,Allowance Plan Reimbursement Start Date,Allowance Plan Actual End Date,Allowance Plan Fixed for Manage by Compensation Basis,Unit Allowance Plan Replace,Unit Allowance Plan,Number of Units,Unit Allowance Plan Frequency,Unit Allowance Plan Per Unit Amount,Unit Allowance Plan Currency,Unit Allowance Plan Reimbursement Start Date,Unit Allowance Plan Actual End Date,Unit Allowance Plan Fixed for Manage by Compensation Basis,Bonus Plan Replace,Bonus Plan,Bonus Plan Individual Target Amount,Bonus Plan Individual Target Percent,Bonus Plan Manage by Compensation Basis Override Amount,Bonus Plan Guaranteed Minimum,Percent Assigned,Bonus Plan Actual End Date,Bonus Plan Fixed for Manage by Compensation Basis,Merit Plan Replace,Merit Plan,Merit Plan Individual Target Percent,Guaranteed Minimum,Merit Plan Actual End Date,Commission Plan Replace,Commission Plan,Commission Plan Target Amount,Commission Plan Currency,Commission Plan Frequency,Draw Amount,Draw Frequency,Draw Duration,Recoverable,Commission Plan Actual End Date,Commission Plan Fixed for Manage by Compensation Basis,Stock Plan Replace,Stock Plan,Stock Plan Individual Target Shares,Stock Plan Individual Target Percent,Individual Target Amount,Stock Plan Manage by Compensation Basis Override Amount,Stock Plan Currency,Stock Plan Actual End Date,Stock Plan Fixed for Manage by Compensation Basis,Stock Plan Frequency,Remove Compensation Plan,Period Salary Replace,Period Salary Plan,Compensation Period,Period Salary Manage by Compensation Basis Override Amount,Period Salary Currency,Compensation Period Multiplier,Period Salary Frequency,Period Salary Actual End Date
E123462,P123457,2025-01-01,,Y,2025-01-01,TEST,,,,,TEST,TEST,,,,,TST,,,,USD,WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E123463,P123458,2025-01-01,,Y,2025-01-02,TEST,,,,,TEST,TEST,,,,,TST,,,,USD,WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E123464,P123459,2025-01-01,,Y,2025-01-03,TEST,,,,,TEST,TEST,,,,,TST,,,,USD,WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E123465,P123460,2025-01-02,,Y,2025-01-04,TEST,,,,,TEST,TEST,,,,,TST,,,,USD,WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E123466,P123461,2025-01-03,,Y,2025-01-05,TEST,,,,,TEST,TEST,,,,,TST,,,,USD,WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E123467,P123462,2025-01-04,,Y,2025-01-06,TEST,,,,,TEST,TEST,,,,,TST,,,,USD,WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E123468,P123463,2025-01-05,,Y,2025-01-07,TEST,,,,,TEST,TEST,,,,,TST,,,,USD,WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E123469,P123464,2025-01-06,,Y,2025-01-08,TEST,,,,,TEST,TEST,,,,,TST,,,,USD,WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E123470,P123465,2025-01-07,,Y,2025-01-09,TEST,,,,,TEST,TEST,,,,,TST,,,,USD,WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E123471,P123466,2025-01-08,,Y,2025-01-10,TEST,,,,,TEST,TEST,,,,,TST,,,,USD,WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E123472,P123467,2025-01-09,,Y,2025-01-11,TEST,,,,,TEST,TEST,,,,,TST,,,,USD,WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E123473,P123468,2025-01-10,,Y,2025-01-12,TEST,,,,,TEST,TEST,,,,,TST,,,,USD,WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E123474,P123469,2025-01-11,,Y,2025-01-13,,,,,,TEST,TEST,,,,,TST,,,,USD,WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
